,gene,scores,log2FoldChange,pvalue,padj,baseMean
0,Tgfb1,26.005451,1.6594522,4.296783880200531e-149,8.593567760401063e-146,1903.9735882944444
1,Pdgfb,24.20779,1.6562808,1.8418324735813835e-129,1.8418324735813836e-126,4756.035816729085
2,Tgfb3,24.13491,1.5370779,1.0754791822138582e-128,7.169861214759055e-126,3673.3700119664554
3,Tgfb2,23.427164,1.4392654,2.259829981008045e-121,1.1299149905040226e-118,3013.359496775331
4,Wnt5a,23.358515,1.5594451,1.1292011726933228e-120,4.516804690773291e-118,822.2922701900608
5,Pdgfa,21.66295,1.1653427,4.5887693805449784e-104,1.529589793514993e-101,822.172875664203
6,Fgf2,21.315094,1.0699095,8.224067982966412e-101,2.3497337094189748e-98,337.5138802325873
7,Cxcr4,20.077534,1.0105187,1.1601393995350344e-89,2.9003484988375858e-87,4337.571921585929
8,RhoA,19.767342,1.1023273,5.6895396234736985e-87,1.264342138549711e-84,3025.5193081288835
9,Rac1,19.41739,1.0745825,5.5014518299059645e-84,1.1002903659811929e-81,3554.9592600904252
10,Cdc42,18.441006,0.97224134,6.158462692019933e-76,1.1197204894581697e-73,151.8932467642221
11,Vegfa,17.796526,0.7773071,7.51899426909745e-71,1.2531657115162417e-68,4851.053768201872
12,Vim,17.470303,0.9449995,2.412108914895348e-68,3.7109367921466895e-66,4170.591071962088
13,Cxcl12,17.326612,0.87188435,2.96275284845405e-67,4.232504069220071e-65,1101.078597857467
14,Zeb1,16.604845,0.9325795,6.428590149235628e-62,8.571453532314171e-60,950.033587675148
15,Cdh1,16.52182,0.8780681,2.555650954899709e-61,3.194563693624636e-59,957.8523237744974
16,Snai2,16.487154,1.0132743,4.538266661442991e-61,5.33913724875646e-59,1555.9991026497116
17,Twist1,15.952643,0.89863753,2.7308708321622227e-57,3.034300924624692e-55,2647.5443365795772
18,Zeb2,14.512327,0.6946065,1.012270749656487e-47,1.0655481575331442e-45,2188.127842278473
19,Snai1,14.048121,0.7472665,7.910415140991165e-45,7.910415140991166e-43,1491.5842439803075
20,Cdh2,13.773131,0.6624798,3.698304234404681e-43,3.522194508956839e-41,3078.6718288757784
21,Actb,13.055376,0.7733728,5.921725088091186e-39,5.383386443719261e-37,740.494610227607
22,Yap1,13.014904,0.7640166,1.0066877389132276e-38,8.753806425332414e-37,1496.11601024933
23,Lats1,12.8244295,0.7704498,1.1966355465801923e-37,9.971962888168268e-36,1863.4911243037739
24,Actg1,12.727153,0.7438049,4.17798459291697e-37,3.342387674333576e-35,2307.5464218743277
25,Piezo1,12.459199,0.73705935,1.246154097521629e-35,9.585800750166379e-34,3936.621008895417
26,Tuba1a,12.123624,0.71089035,7.917862724110959e-34,5.865083499341451e-32,1038.3852216838807
27,Wwtr1,12.059111,0.69345254,1.736478868705021e-33,1.240342049075015e-31,2595.4604701473772
28,Msn,11.881383,0.65163934,1.478995437078997e-32,1.0199968531579289e-30,2982.45211586711
29,Rdx,11.404692,0.64187735,3.9617988264826376e-30,2.641199217655092e-28,279.92954296398875
30,Trpv4,11.305977,0.5974233,1.2258253020865457e-29,7.908550336042231e-28,3057.34701691212
31,Lats2,10.860118,0.5597234,1.7851874101631567e-27,1.1157421313519729e-25,894.0944122520931
32,Tubb3,9.980667,0.48312807,1.8521659495340386e-23,1.1225248178994172e-21,372.0053852771336
33,Itgb1,9.460232,0.71296686,3.0726137372094155e-21,1.807419845417303e-19,4746.983409404
34,Ezr,9.398457,0.49804047,5.536937978240709e-21,3.1639645589946904e-19,4829.878563719069
35,Loxl2,8.070669,0.60697365,6.991400874836e-16,3.884111597131111e-14,4051.5668731764827
36,Itga6,7.311415,0.40872917,2.643436147435709e-13,1.3912821828608994e-11,1557.838157408185
37,Timp1,5.745946,0.3410879,9.140858780520678e-09,4.0626039024536345e-07,533.4769643316001
38,Mmp8,5.6811037,1.7656311,1.3382841802004046e-08,5.818626870436542e-07,3436.9534812351767
39,Il1b,5.275689,1.9748611,1.322582884540204e-07,5.510762018917517e-06,2228.7548440110263
40,Mmp2,5.139049,0.32295755,2.7613208727787644e-07,1.1045283491115057e-05,654.0892624816552
41,Mmp14,5.108764,0.3365229,3.242731907415414e-07,1.2716595715354566e-05,2501.1257050507875
42,Csf1r,5.0791907,1.332434,3.79046256320364e-07,1.4578702166167846e-05,220.22317952033106
43,S100a9,4.8814874,1.3280475,1.052886077547253e-06,3.899578064989826e-05,4551.135990289971
44,Mmp9,4.7501736,0.2689952,2.0324197603425693e-06,7.258642001223461e-05,1330.9609089200837
45,Fcgr1,4.5741305,1.0668644,4.782021645182204e-06,0.00016489729810973116,3329.4853075522105
46,Ly6g,4.4727597,1.9308298,7.721659490138243e-06,0.0002617511691572286,1592.9698266425842
47,Fn1,4.4411325,0.25830677,8.94866669590133e-06,0.0002982888898633777,2624.3367048301634
48,Lox,4.195893,0.23671775,2.7179854885299617e-05,0.0008628525360412577,2756.2158827492344
49,Mrc1,4.119331,1.0417717,3.799740636667105e-05,0.00116915096512834,965.0295548513589
50,Cd68,3.966111,0.82263714,7.305484190109854e-05,0.0021807415492865233,4849.443907434565
51,Adgre1,3.7292643,0.65076995,0.0001920396279517557,0.0052613596699111155,3886.907475637517
